inhibitor	family
A-674563	PKC
A-674563	AKT
A-674563	PI3K_AKT_MTOR
AT7519	CDK4_6
AT7519	pan_CDK
AZD1480	JAK
AZD1480	RTK_NTRK
AZD1480	BTK_TEC
Afatinib (BIBW-2992)	RTK_ERBB
Alisertib (MLN8237)	AURK
Axitinib (AG-013736)	RTK_VEGFRs
Axitinib (AG-013736)	RTK_TYPE_III
BEZ235	PI3K_MTOR
BEZ235	PI3K_AKT_MTOR
BI-2536	PLK
BMS-345541	IkK
BMS-345541	pan_CDK
Barasertib (AZD1152-HQPA)	AURK
Barasertib (AZD1152-HQPA)	RTK_TYPE_III
Barasertib (AZD1152-HQPA)	BTK_TEC
Bortezomib (Velcade)	proteasome
Bosutinib (SKI-606)	SFKs
Bosutinib (SKI-606)	ABL
Bosutinib (SKI-606)	BTK_TEC
CHIR-99021	GSK3
CI-1040 (PD184352)	MEK
CI-1040 (PD184352)	RAF_MEK_ERK
CYT387	JAK
Cabozantinib	RTK_TIE
Cabozantinib	RTK_RET
Cabozantinib	RTK_VEGFRs
Cabozantinib	RTK_ALK_MET
Cabozantinib	RTK_TAM
Cabozantinib	RTK_TYPE_III
Canertinib (CI-1033)	RTK_ERBB
Cediranib (AZD2171)	RTK_VEGFRs
Cediranib (AZD2171)	RTK_TYPE_III
Crenolanib	RTK_TYPE_III
Crizotinib (PF-2341066)	RTK_NTRK
Crizotinib (PF-2341066)	RTK_ALK_MET
Crizotinib (PF-2341066)	RTK_TAM
Dasatinib	SFKs
Dasatinib	ABL
Dasatinib	RTK_TYPE_III
Dasatinib	RTK_EPH
Dasatinib	BTK_TEC
Doramapimod (BIRB 796)	RTK_TIE
Doramapimod (BIRB 796)	p38
Dovitinib (CHIR-258)	RTK_TYPE_III
Entospletinib (GS-9973)	SYK
Entrectinib	RTK_NTRK
Erlotinib	RTK_ERBB
Flavopiridol	CDK4_6
Flavopiridol	pan_CDK
Foretinib (XL880)	RTK_TIE
Foretinib (XL880)	RTK_RET
Foretinib (XL880)	RTK_NTRK
Foretinib (XL880)	RTK_VEGFRs
Foretinib (XL880)	RTK_ALK_MET
Foretinib (XL880)	RTK_TAM
Foretinib (XL880)	RTK_TYPE_III
Foretinib (XL880)	RTK_EPH
Foretinib (XL880)	BTK_TEC
GDC-0879	RAF
GDC-0879	RAF_MEK_ERK
GDC-0941	PI3K_MTOR
GDC-0941	PI3K_AKT_MTOR
GSK-1838705A	RTK_INSR_IGF1R
GSK-1838705A	RTK_ALK_MET
GSK-1904529A	RTK_INSR_IGF1R
GSK690693	PKC
GSK690693	AKT
GSK690693	PI3K_AKT_MTOR
GW-2580	RTK_NTRK
GW-2580	RTK_TYPE_III
Gefitinib	RTK_ERBB
Go6976	PKC
INK-128	PI3K_MTOR
INK-128	PI3K_AKT_MTOR
Ibrutinib (PCI-32765)	SFKs
Ibrutinib (PCI-32765)	BTK_TEC
Idelalisib	PI3K_MTOR
Idelalisib	PI3K_AKT_MTOR
Imatinib	ABL
JAK Inhibitor I	JAK
JNJ-28312141	RTK_TYPE_III
JNJ-7706621	RTK_TIE
JNJ-7706621	AURK
JNJ-7706621	pan_CDK
JQ1	BRD4
KI20227	RTK_TYPE_III
KU-55933	ATM
KW-2449	AURK
KW-2449	RTK_TYPE_III
KW-2449	BTK_TEC
LY-333531	PKC
Lapatinib	RTK_ERBB
Lenvatinib	RTK_VEGFRs
Lestaurtinib (CEP-701)	BTK_TEC
Linifanib (ABT-869)	RTK_VEGFRs
Linifanib (ABT-869)	RTK_TYPE_III
MGCD-265	RTK_TIE
MK-2206	AKT
MK-2206	PI3K_AKT_MTOR
MLN120B	IkK
MLN8054	AURK
Midostaurin	JAK
Midostaurin	RTK_TYPE_III
Motesanib (AMG-706)	RTK_VEGFRs
Motesanib (AMG-706)	RTK_TYPE_III
NF-kB Activation Inhibitor	IkK
NVP-ADW742	RTK_INSR_IGF1R
NVP-TAE684	RTK_TIE
NVP-TAE684	RTK_INSR_IGF1R
NVP-TAE684	RTK_ALK_MET
NVP-TAE684	RTK_TAM
NVP-TAE684	FAKs
NVP-TAE684	BTK_TEC
Neratinib (HKI-272)	RTK_ERBB
Neratinib (HKI-272)	BTK_TEC
Nilotinib	ABL
Nutlin 3a	mdm2
PD173955	SFKs
PD173955	ABL
PD173955	RAF
PD173955	RAF_MEK_ERK
PD173955	RTK_TYPE_III
PD173955	RTK_EPH
PD173955	BTK_TEC
PHA-665752	RTK_ALK_MET
PI-103	PI3K_MTOR
PI-103	PI3K_AKT_MTOR
PP242	RTK_RET
PP242	PI3K_MTOR
PP242	PI3K_AKT_MTOR
PRT062607	SYK
Palbociclib	CDK4_6
Panobinostat	HDAC
Pazopanib (GW786034)	RTK_VEGFRs
Pazopanib (GW786034)	RTK_TYPE_III
Pelitinib (EKB-569)	RTK_ERBB
Ponatinib (AP24534)	RTK_RET
Ponatinib (AP24534)	RTK_VEGFRs
Ponatinib (AP24534)	SFKs
Ponatinib (AP24534)	ABL
Ponatinib (AP24534)	RTK_ALK_MET
Ponatinib (AP24534)	RTK_TYPE_III
Ponatinib (AP24534)	RTK_EPH
Ponatinib (AP24534)	RTK_FGFRs
Quizartinib (AC220)	RTK_RET
Quizartinib (AC220)	RTK_TYPE_III
RAF265 (CHIR-265)	RAF
RAF265 (CHIR-265)	RAF_MEK_ERK
Rapamycin	PI3K_MTOR
Rapamycin	PI3K_AKT_MTOR
Regorafenib (BAY 73-4506)	RTK_RET
Regorafenib (BAY 73-4506)	RTK_VEGFRs
Regorafenib (BAY 73-4506)	RAF
Regorafenib (BAY 73-4506)	RAF_MEK_ERK
Regorafenib (BAY 73-4506)	RTK_TYPE_III
Regorafenib (BAY 73-4506)	RTK_FGFRs
Roscovitine (CYC-202)	pan_CDK
Ruxolitinib (INCB018424)	JAK
SGX-523	RTK_ALK_MET
SNS-032 (BMS-387032)	pan_CDK
STO609	CAMK
Selumetinib (AZD6244)	MEK
Selumetinib (AZD6244)	RAF_MEK_ERK
Sorafenib	RTK_RET
Sorafenib	RTK_VEGFRs
Sorafenib	RTK_TYPE_III
Staurosporine	PKC
Sunitinib	RTK_VEGFRs
Sunitinib	RTK_TYPE_III
TG100-115	PI3K_MTOR
TG100-115	PI3K_AKT_MTOR
TG101348	JAK
TG101348	BTK_TEC
Tandutinib (MLN518)	RTK_TYPE_III
Tivozanib (AV-951)	RTK_VEGFRs
Tofacitinib (CP-690550)	JAK
Tozasertib (VX-680)	RTK_RET
Tozasertib (VX-680)	AURK
Tozasertib (VX-680)	RTK_TYPE_III
Trametinib (GSK1120212)	MEK
Trametinib (GSK1120212)	RAF_MEK_ERK
VX-745	p38
Vandetanib (ZD6474)	RTK_RET
Vandetanib (ZD6474)	RTK_VEGFRs
Vandetanib (ZD6474)	RTK_ERBB
Vandetanib (ZD6474)	RTK_EPH
Vandetanib (ZD6474)	BTK_TEC
Vatalanib (PTK787)	RTK_VEGFRs
Vatalanib (PTK787)	RTK_TYPE_III
Vemurafenib (PLX-4032)	RAF
Vemurafenib (PLX-4032)	RAF_MEK_ERK
Venetoclax	BCL2
Vismodegib (GDC-0449)	SHH
Volasertib (BI-6727)	PLK